question_number,question,answer
1,Во кој град е регистрирана вашата организација?,NA
1,Во кој град е регистрирана вашата организација?,Skopje
1,Во кој град е регистрирана вашата организација?,Tetovo
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Гевгелија
1,Во кој град е регистрирана вашата организација?,NA
1,Во кој град е регистрирана вашата организација?,Skopje
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Струмица
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Кратово
1,Во кој град е регистрирана вашата организација?,Куманово
1,Во кој град е регистрирана вашата организација?,NA
1,Во кој град е регистрирана вашата организација?,resen
1,Во кој град е регистрирана вашата организација?,Берово
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Куманово
1,Во кој град е регистрирана вашата организација?,Кавадарци
1,Во кој град е регистрирана вашата организација?,Gevgelija
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Скопје
1,Во кој град е регистрирана вашата организација?,Skopje
1,Во кој град е регистрирана вашата организација?,NA
1,Во кој град е регистрирана вашата организација?,NA
2,На која тематска област работите?,Економски развој
2,На која тематска област работите?,"Деца, млади и студенти, Рурален развој и земјоделство, Образование и наука, Спорт, хоби и рекреација"
2,На која тематска област работите?,"Деца, млади и студенти, Економски развој, Иновации и конкурентност, Рурален развој и земјоделство, Информации и нови медиуми, Образование и наука, Развој на граѓанско општество"
2,На која тематска област работите?,"Здравје и здравство, Информации и нови медиуми, Социјална грижа"
2,На која тематска област работите?,"Економски развој, Рурален развој и земјоделство, Спорт, хоби и рекреација, Други"
2,На која тематска област работите?,Други
2,На која тематска област работите?,Рурален развој и земјоделство
2,На која тематска област работите?,Жени и родови прашања
2,На која тематска област работите?,"Деца, млади и студенти, Жени и родови прашања"
2,На која тематска област работите?,"Деца, млади и студенти, Економски развој, Жени и родови прашања"
2,На која тематска област работите?,Други
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото, Развој на граѓанско општество"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото"
2,На која тематска област работите?,Развој на граѓанско општество
2,На која тематска област работите?,"Деца, млади и студенти, Жени и родови прашања"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото"
2,На која тематска област работите?,"Деца, млади и студенти, Етнички заедници, Развој на граѓанско општество"
2,На која тематска област работите?,"Рурален развој и земјоделство, Други"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото"
2,На која тематска област работите?,Рурален развој и земјоделство
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото, Деца, млади и студенти, Развој на граѓанско општество, Ненасилство и толеранција"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото, Развој на граѓанско општество, Други"
2,На која тематска област работите?,"Демократија, добро владеење и владеење на правото, Информации и нови медиуми, Образование и наука, Развој на граѓанско општество"
2,На која тематска област работите?,"Деца, млади и студенти, Економски развој, Иновации и конкурентност, Други"
2,На која тематска област работите?,Жени и родови прашања
